"genotype" "clonalcolony" "identifier"
"FY4-5" "A6-110316" 97310
"FY4-5" "A6-110316" 97313
"FY4-5" "A6-110316" 97315
"FY4-5" "A6-110316" 97316
"FY4-5" "A6-110316" 97317
"FY4-5" "A6-110316" 97319
"FY4-5" "A6-110316" 97320
"FY4-5" "A6-110316" 97321
"FY4-5" "A6-110316" 97323
"FY4-5" "A6-110316" 97324
"FY4-5" "A6-110316" 97325
"FY4-5" "A6-110316" 97326
"FY4-5" "A6-110316" 97327
"FY4-5" "A6-110316" 97328
"FY4-5" "A6-110316" 97344
"FY4-5" "A6-110316" 97348
"FY4-5" "A6-110316" 97349
"FY4-5" "A6-110316" 97355
"FY4-5" "A6-110316" 97357
"FY4-5" "A6-110316" 97359
"FY4-5" "A6-110316" 97361
"FY4-5" "A6-110316" 97363
"FY4-5" "A6-110316" 97365
"FY4-5" "A6-110316" 97366
"FY4-5" "A6-110316" 97367
"FY4-5" "A6-110316" 97369
"FY4-5" "A6-110316" 97374
"FY4-5" "A6-110316" 97375
"FY4-5" "A6-110316" 97379
"FY4-5" "A6-110316" 97380
"FY4-5" "A6-110316" 97389
"FY4-5" "A6-110316" 97403
"FY4-5" "A6-110316" 97405
"FY4-5" "A6-110316" 97406
"FY4-5" "A6-110316" 97407
"FY4-5" "A6-110316" 97415
"FY4-5" "A6-110316" 97417
"FY4-5" "A6-110316" 97418
"FY4-5" "A6-110316" 97419
"FY4-5" "A6-110316" 97420
"FY4-5" "A6-110316" 97421
"FY4-5" "A6-110316" 97423
"FY4-5" "A6-110316" 97424
"FY4-5" "A6-110316" 97425
"FY4-5" "A6-110316" 97427
"FY4-5" "A6-110316" 97439
"FY4-5" "A6-110316" 97441
"FY4-5" "A6-110316" 97442
"FY4-5" "A6-110316" 97443
"FY4-5" "A6-110316" 97466
"FY4-5" "A6-110316" 97467
"FY4-5" "A6-110316" 97468
"FY4-5" "A6-110316" 97470
"FY4-5" "A6-110316" 97472
"FY4-5" "A6-110316" 97473
"FY4-5" "A6-110316" 97474
"FY4-5" "A6-110316" 97475
"FY4-5" "A6-110316" 97476
"FY4-5" "A6-110316" 97478
"FY4-5" "A6-110316" 97479
"FY4-5" "A6-110316" 97481
"FY4-5" "A6-110316" 97483
"FY4-5" "A6-110316" 97485
"FY4-5" "A6-110316" 97488
"FY4-5" "A6-110316" 97490
"FY4-5" "A6-110316" 97491
"FY4-5" "A6-110316" 97492
"FY4-5" "A6-110316" 97493
"FY4-5" "A6-110316" 97494
"FY4-5" "A6-110316" 97511
"FY4-5" "A6-110316" 97512
"FY4-5" "A6-110316" 97513
"FY4-5" "A6-110316" 97514
"FY4-5" "A6-110316" 97515
"FY4-5" "A6-110316" 97516
"FY4-5" "A6-110316" 97517
"FY4-5" "A6-110316" 97518
"FY4-5" "A6-110316" 97519
"FY4-5" "A6-110316" 97520
"FY4-5" "A6-110316" 97521
"FY4-5" "A6-110316" 97522
"FY4-5" "A6-110316" 97523
"FY4-5" "A6-110316" 97524
"FY4-5" "A6-110316" 97527
"FY4-5" "A6-110316" 97538
"FY4-5" "A6-110316" 97541
"FY4-5" "A6-110316" 97542
"FY4-5" "A6-110316" 97544
"FY4-5" "A6-110316" 97545
"FY4-5" "A6-110316" 97546
"FY4-5" "A6-110316" 97547
"FY4-5" "A6-110316" 97548
"FY4-5" "A6-110316" 97549
"FY4-5" "A6-110316" 97550
"FY4-5" "A6-110316" 97551
"FY4-5" "A6-110316" 97552
"FY4-5" "A6-110316" 97553
"FY4-5" "A6-110316" 97554
"FY4-5" "A6-110316" 97555
"FY4-5" "A6-110316" 97557
"FY4-5" "A6-110316" 97561
"FY4-5" "A6-110316" 97562
"FY4-5" "A6-110316" 97563
"FY4-5" "A6-110316" 97564
"FY4-5" "A6-110316" 97568
"FY4-5" "A6-110316" 97581
"FY4-5" "A6-110316" 97583
"FY4-5" "A6-110316" 97584
"FY4-5" "A6-110316" 97586
"FY4-5" "A6-110316" 97588
"FY4-5" "A6-110316" 97589
"FY4-5" "A6-110316" 97590
"FY4-5" "A6-110316" 97591
"FY4-5" "A6-110316" 97592
"FY4-5" "A6-110316" 97594
"FY4-5" "A6-110316" 97595
"FY4-5" "A6-110316" 97597
"FY4-5" "A6-110316" 97599
"FY4-5" "A6-110316" 97603
"FY4-5" "A6-110316" 97612
"FY4-5" "A6-110316" 97613
"FY4-5" "A6-110316" 97617
"FY4-5" "A6-110316" 97618
"FY4-5" "A6-110316" 97619
"FY4-5" "A6-110316" 97621
"FY4-5" "A6-110316" 97624
"FY4-5" "A6-110316" 97626
"FY4-5" "A6-110316" 97627
"FY4-5" "A6-110316" 97631
"FY4-5" "A6-110316" 97632
"FY4-5" "A6-110316" 97633
"FY4-5" "A6-110316" 97640
"FY4-5" "A6-110316" 97643
"FY4-5" "A6-110316" 97644
"FY4-5" "A6-110316" 97645
"FY4-5" "A6-110316" 97646
"FY4-5" "A6-110316" 97649
"FY4-5" "A6-110316" 97651
"FY4-5" "A6-110316" 97655
"FY4-5" "A6-110316" 97657
"FY4-5" "A6-110316" 97676
"FY4-5" "A6-110316" 97677
"FY4-5" "A6-110316" 97679
"FY4-5" "A6-110316" 97681
"FY4-5" "A6-110316" 97685
"FY4-5" "A6-110316" 97686
"FY4-5" "A6-110316" 97689
"FY4-5" "A6-110316" 97690
"FY4-5" "A6-110316" 97691
"FY4-5" "A6-110316" 97692
"FY4-5" "A6-110316" 97696
"FY4-5" "A6-110316" 97697
"FY4-5" "A6-110316" 97700
"FY4-5" "A6-110316" 97701
"FY4-5" "A6-110316" 97703
"FY4-5" "A6-110316" 97704
"FY4-5" "A6-110316" 97705
"FY4-5" "A6-110316" 97706
"FY4-5" "A6-110316" 97707
"FY4-5" "A6-110316" 97708
"FY4-5" "A6-110316" 97709
"FY4-5" "A6-110316" 97710
"FY4-5" "A6-110316" 97739
"FY4-5" "A6-110316" 97740
"FY4-5" "A6-110316" 97741
"FY4-5" "A6-110316" 97745
"FY4-5" "A6-110316" 97774
"FY4-5" "A6-110316" 97775
"FY4-5" "A6-110316" 97776
"FY4-5" "A6-110316" 97778
"FY4-5" "A6-110316" 97780
"FY4-5" "A6-110316" 97781
"FY4-5" "A6-110316" 97782
"FY4-5" "A6-110316" 97783
"FY4-5" "A6-110316" 97784
"FY4-5" "A6-110316" 97785
"FY4-5" "A6-110316" 97786
"FY4-5" "A6-110316" 97787
"FY4-5" "A6-110316" 97788
"FY4-5" "A6-110316" 97789
"FY4-5" "A6-110316" 97790
"FY4-5" "A6-110316" 97792
"FY4-5" "A6-110316" 97793
"FY4-5" "A6-110316" 97794
"FY4-5" "A6-110316" 97795
"FY4-5" "A6-110316" 97796
"FY4-5" "A6-110316" 97799
"FY4-5" "A6-110316" 97803
"FY4-5" "A6-110316" 97804
"FY4-5" "A6-110316" 97805
"FY4-5" "A6-110316" 97806
"FY4-5" "A6-110316" 97807
"FY4-5" "A6-110316" 97808
"FY4-5" "A6-110316" 97809
"FY4-5" "A6-110316" 97810
"FY4-5" "A6-110316" 97812
"FY4-5" "A6-110316" 97813
"FY4-5" "A6-110316" 97814
"FY4-5" "A6-110316" 97815
"FY4-5" "A6-110316" 97816
"FY4-5" "A6-110316" 97818
"FY4-5" "A6-110316" 97820
"FY4-5" "A6-110316" 97827
"FY4-5" "A6-110316" 97829
"FY4-5" "A6-110316" 97832
"FY4-5" "A6-110316" 97833
"FY4-5" "A6-110316" 97834
"FY4-5" "A6-110316" 97835
"FY4-5" "A6-110316" 97836
"FY4-5" "A6-110316" 97841
"FY4-5" "A6-110316" 97842
"FY4-5" "A6-110316" 97843
"FY4-5" "A7-110316" 96253
"FY4-5" "A7-110316" 96254
"FY4-5" "A7-110316" 96255
"FY4-5" "A7-110316" 96256
"FY4-5" "A7-110316" 96257
"FY4-5" "A7-110316" 96258
"FY4-5" "A7-110316" 96259
"FY4-5" "A7-110316" 96260
"FY4-5" "A7-110316" 96265
"FY4-5" "A7-110316" 96266
"FY4-5" "A7-110316" 96267
"FY4-5" "A7-110316" 96273
"FY4-5" "A7-110316" 96281
"FY4-5" "A7-110316" 96284
"FY4-5" "A7-110316" 96286
"FY4-5" "A7-110316" 96287
"FY4-5" "A7-110316" 96288
"FY4-5" "A7-110316" 96289
"FY4-5" "A7-110316" 96292
"FY4-5" "A7-110316" 96293
"FY4-5" "A7-110316" 96294
"FY4-5" "A7-110316" 96295
"FY4-5" "A7-110316" 96296
"FY4-5" "A7-110316" 96297
"FY4-5" "A7-110316" 96298
"FY4-5" "A7-110316" 96300
"FY4-5" "A7-110316" 96301
"FY4-5" "A7-110316" 96302
"FY4-5" "A7-110316" 96303
"FY4-5" "A7-110316" 96304
"FY4-5" "A7-110316" 96305
"FY4-5" "A7-110316" 96306
"FY4-5" "A7-110316" 96314
"FY4-5" "A7-110316" 96315
"FY4-5" "A7-110316" 96318
