Culture	Time	TotalArea	Number
R05C05	1321427108.000000	538540.000000	52
R05C05	1321428248.000000	564809.000000	51
R05C05	1321429388.000000	594920.000000	49
R05C05	1321430532.000000	620415.500000	43
R05C05	1321431678.000000	646165.000000	43
R05C05	1321432830.000000	672730.000000	35
R05C05	1321434004.000000	700652.000000	33
R05C05	1321435154.000000	726808.500000	30
R05C05	1321436294.000000	750647.500000	25
R05C05	1321437438.000000	774972.500000	29
R05C05	1321438590.000000	798065.500000	24
R05C05	1321439738.000000	820448.000000	25
R05C05	1321440898.000000	844244.500000	20
R05C05	1321442064.000000	863980.500000	24
R05C05	1321443210.000000	886859.500000	23
R05C05	1321444358.000000	905659.500000	21
R05C05	1321445506.000000	923959.500000	16
R05C05	1321446660.000000	969367.000000	16
R05C05	1321447818.000000	984611.500000	13
R05C05	1321448994.000000	1000607.500000	12
R05C05	1321450142.000000	1029053.000000	12
R05C05	1321451290.000000	1041177.000000	11
R05C05	1321452440.000000	1051585.500000	13
R05C05	1321453592.000000	1061494.000000	12
R05C05	1321454744.000000	1392785.000000	1
R05C05	1321455948.000000	1392809.000000	1
R05C05	1321457118.000000	1392768.500000	1
R05C05	1321458290.000000	1392675.500000	1
R05C05	1321459460.000000	1392850.500000	1
R05C05	1321460632.000000	1392807.500000	1
R05C05	1321461804.000000	1392832.500000	1
R05C06	1321349712.000000	17422.000000	299
R05C06	1321350838.000000	17420.000000	304
R05C06	1321351952.000000	18916.500000	293
R05C06	1321353076.000000	19012.000000	293
R05C06	1321354196.000000	20314.500000	305
R05C06	1321355324.000000	17465.000000	288
R05C06	1321356448.000000	20073.000000	288
R05C06	1321357580.000000	21067.500000	288
R05C06	1321358706.000000	19547.500000	277
R05C06	1321359834.000000	22241.500000	285
R05C06	1321360958.000000	23592.000000	279
R05C06	1321362090.000000	24445.500000	271
R05C06	1321363212.000000	22908.500000	284
R05C06	1321364344.000000	24939.500000	292
R05C06	1321365486.000000	25350.000000	279
R05C06	1321366616.000000	28165.500000	275
R05C06	1321367746.000000	29170.000000	287
R05C06	1321368870.000000	29923.000000	267
R05C06	1321370000.000000	29311.500000	295
R05C06	1321371130.000000	34008.500000	270
R05C06	1321372264.000000	34682.000000	272
R05C06	1321373410.000000	36734.000000	271
R05C06	1321374546.000000	39228.500000	269
R05C06	1321375680.000000	41833.500000	267
R05C06	1321376818.000000	40064.500000	257
R05C06	1321377956.000000	44402.500000	267
R05C06	1321379088.000000	47194.500000	259
R05C06	1321380214.000000	52904.000000	272
R05C06	1321381366.000000	53277.000000	267
