"K" "r"
18120.3698414429 0.380729167650676
13201.8388882989 0.34753505207065
12419.492481051 0.398063147978981
16331.2163461119 0.316607336285045
13752.5330294359 0.326546577998371
18300.261725012 0.312700739873863
17238.0545577515 0.302439612903579
17491.982781643 0.441104772137038
19415.2681465224 0.421014663695985
17921.7414991791 0.359286295196532
16795.5509323571 0.431930308752327
18679.4954919622 0.504386356552627
10443.5082473263 0.396662779202422
7643.53234674709 0.327796818200973
6320.33839167016 0.228119151915541
6595.53336499071 0.260364877834148
5050.49110164023 0.215212613266209
6238.76553357833 0.216888532323634
6618.37945141356 0.158807102296508
5829.7986663102 0.114230667697491
6658.41417900765 0.109844853006615
6076.51887558859 0.114073650171851
7165.42399750722 0.108086884138014
6536.72052283744 0.104327100393677
9908.62705151719 0.107247719766342
19647.7404342892 0.124425952126847
13615.6501128891 0.163568026857714
17572.3703927933 0.251442182309001
16716.0456915838 0.335176781876107
16006.4416773134 0.377461600672267
13849.1452356873 0.442765663394984
17319.2867776439 0.610087392266893
18921.8101291947 0.574334286790351
18710.8009155266 0.518785668738397
18612.180865715 0.444048287919461
18044.7254049157 0.325351827549461
15092.0530117305 0.444129704860173
10875.1877004604 0.398363614717338
9847.80791371564 0.41412395165244
8746.17446600831 0.525014640009786
9593.69871604166 0.55740901874349
9878.064143851 0.576350538126908
7690.64500187439 0.431351562509726
8225.86227529642 0.476023698393918
7189.39432667047 0.390760093407581
6879.81024333884 0.421984469621172
6177.58868946885 0.491317929975464
6381.66129261249 0.562581418940413
5674.09817863814 0.502935609061233
6853.65080292895 0.545800099513689
10152.4382881382 0.505711447926834
10665.4421323105 0.418448106432961
10691.849507574 0.338229547414038
10101.0193312288 0.324250004420651
10753.1724723632 0.293077690374562
11285.8051892002 0.228568285821813
9766.30796440511 0.158324863687548
10381.7304783483 0.171968411172199
10781.1951277697 0.189730778335809
7678.74798698009 0.172694241011978
5766.95506513006 0.172251001683389
6060.80028996291 0.262154800453708
6956.82853309369 0.272794861339889
6482.88335083725 0.290118520361251
8390.70812615699 0.302179231352351
7833.63287257541 0.315844579685
6493.22331082635 0.282856259499147
6394.62720843172 0.218831222316181
6182.79284660313 0.215780258202464
5448.99902182774 0.227606613395137
5789.58950339517 0.226283737346383
5951.32218457665 0.195200054765542
5411.01802136772 0.302767075950477
6756.23707313489 0.282506620254988
5264.25839307543 0.350737711077902
5928.73613382475 0.558251456008138
6526.49084783425 0.620831372707405
6351.59433712464 0.766649682234413
5184.02693813374 0.422459189006926
5527.76086095279 0.395576526404438
5897.84467452168 0.550168259447402
7315.57563213106 0.458879556385891
8593.37588383697 0.358505676502081
5745.89312481097 0.367345830912649
7561.77986861694 0.420286358490321
5823.5521396397 0.430966834480283
6900.02198715235 0.438551594486099
7940.93443763903 0.380526177786293
9984.4565037314 0.292958132856911
6563.17607451405 0.270758476774128
7835.65490846922 0.439087005145078
9857.52969843816 0.540258121106826
6966.63437388577 0.65987244071633
7761.14065622754 0.612541718927837
6776.94090424772 0.600837498932981
5529.39245764117 0.43845866249548
5300.15671696953 0.520845421595528
5943.19184431351 0.363651667043586
5715.18768518312 0.404474866325605
5155.18854113488 0.377941643782507
7158.38134566639 0.429137793614398
10532.26974935 0.483134284089091
15272.901725851 0.347596591465613
15947.1188064378 0.454370559469994
11594.6617620861 0.396511837513673
12060.8802926018 0.541569593093525
14461.0695795331 0.505250798393085
12527.0013735332 0.531186101519064
13996.0533040049 0.579644701332872
17499.4570986293 0.713711530279643
15509.9175194873 0.720066975595887
19722.4314502367 0.635586075707318
17175.1766948465 0.782205439466958
19601.9614661373 0.517745534854361
19067.4982892492 0.591618389428371
19189.2804400235 0.619838723789045
18536.6798387627 0.407458327301139
18071.7075335816 0.434934228903597
12071.5972608043 0.42251300922243
12973.9685039097 0.508723675450625
13667.7045335065 0.483893943039138
11334.4403108971 0.440826233288836
9465.83194432365 0.315919239042566
11447.9991274345 0.383459819255005
14421.2286456457 0.368038044813336
12914.5502919969 0.402289694864624
13066.7347547913 0.513907661534392
9738.58241505637 0.391398091106577
10987.1724785102 0.280794604094047
13112.0854721814 0.233812772617311
18596.3560680807 0.238559821281683
18901.4378030637 0.203357902855914
